Name,Link,Phone Number
Mocha point coffee by mocha arabica,https://www.google.com/maps/place/Mocha+point+coffee+by+mocha+arabica/data=!4m7!3m6!1s0x14cabbce0973d577:0xccce8014ac13d182!8m2!3d41.0169532!4d28.9423587!16s%2Fg%2F11w48pdktt!19sChIJd9VzCc67yhQRgtETrBSAzsw?authuser=0&hl=en&rclk=1,0539 817 60 90
Cafe Naftalin K,https://www.google.com/maps/place/Cafe+Naftalin+K/data=!4m7!3m6!1s0x14caba02c92d2b6f:0x6a52826ea0dca3c7!8m2!3d41.0299821!4d28.9509846!16s%2Fg%2F11ckxjd0xh!19sChIJbystyQK6yhQRx6PcoG6CUmo?authuser=0&hl=en&rclk=1,N/A
Mandabatmaz,https://www.google.com/maps/place/Mandabatmaz/data=!4m7!3m6!1s0x14cab76450c22f7b:0xf389f934f1b967f1!8m2!3d41.0327333!4d28.9762359!16s%2Fg%2F1tdqwrj8!19sChIJey_CUGS3yhQR8We58TT5ifM?authuser=0&hl=en&rclk=1,(0212) 243 77 37
29,https://www.google.com/maps/place/29/data=!4m7!3m6!1s0x14cab63af01d116b:0xc06d4194eaf08eb1!8m2!3d41.064558!4d29.03202!16s%2Fg%2F11ckqn9wt5!19sChIJaxEd8Dq2yhQRsY7w6pRBbcA?authuser=0&hl=en&rclk=1,(0212) 358 29 29
Nespresso Kanyon,https://www.google.com/maps/place/Nespresso+Kanyon/data=!4m7!3m6!1s0x14cab65d5f26c945:0xe574dfd7e65c76a!8m2!3d41.078234!4d29.009985!16s%2Fg%2F11hz1p2brq!19sChIJRckmX122yhQRasdlfv1NVw4?authuser=0&hl=en&rclk=1,444 2 021
Istanbul Kahvehanesi,https://www.google.com/maps/place/Istanbul+Kahvehanesi/data=!4m7!3m6!1s0x14cab9bdadc42581:0x6a0c7dc3c76c2038!8m2!3d41.0063788!4d28.9789064!16s%2Fg%2F11dxq2sc8t!19sChIJgSXErb25yhQROCBsx8N9DGo?authuser=0&hl=en&rclk=1,N/A
Khaldi Coffee,https://www.google.com/maps/place/Khaldi+Coffee/data=!4m7!3m6!1s0x14cab91f6db56889:0x5fc490ef0d059230!8m2!3d41.0087966!4d28.9762369!16s%2Fg%2F11r3d8c3l3!19sChIJiWi1bR-5yhQRMJIFDe-QxF8?authuser=0&hl=en&rclk=1,0530 321 22 97
Gramaj Coffee • Roastery • Food • Chill,https://www.google.com/maps/place/Gramaj+Coffee+%E2%80%A2+Roastery+%E2%80%A2+Food+%E2%80%A2+Chill/data=!4m7!3m6!1s0x14cab7dad445fdd1:0x25106687963e3a1a!8m2!3d41.033254!4d28.9816185!16s%2Fg%2F11h0mjt8sy!19sChIJ0f1F1Nq3yhQRGjo-lodmECU?authuser=0&hl=en&rclk=1,0530 109 49 38
Kahverengi Roastery Sultanahmet,https://www.google.com/maps/place/Kahverengi+Roastery+Sultanahmet/data=!4m7!3m6!1s0x14cab9598d62fb49:0x9a54ed53fd19513b!8m2!3d41.0093621!4d28.978735!16s%2Fg%2F11xkvpd_v2!19sChIJSftijVm5yhQRO1EZ_VPtVJo?authuser=0&hl=en&rclk=1,N/A
Coffeeshop company,https://www.google.com/maps/place/Coffeeshop+company/data=!4m7!3m6!1s0x14ca9604a70a61a3:0xa253ccb93626f452!8m2!3d41.0203209!4d28.6867153!16s%2Fg%2F11f_p2czrg!19sChIJo2EKpwSWyhQRUvQmNrnMU6I?authuser=0&hl=en&rclk=1,(0212) 699 36 11
The Rabbit Hole Coffee Sultanahmet,https://www.google.com/maps/place/The+Rabbit+Hole+Coffee+Sultanahmet/data=!4m7!3m6!1s0x14cab916265e94ad:0x2f5dfbf2ac563e13!8m2!3d41.005!4d28.97164!16s%2Fg%2F11t168c63k!19sChIJrZReJha5yhQREz5WrPL7XS8?authuser=0&hl=en&rclk=1,0541 748 11 24
Peyk Away Coffee,https://www.google.com/maps/place/Peyk+Away+Coffee/data=!4m7!3m6!1s0x14cab9971a505555:0xd0f8e6b6a471147d!8m2!3d41.0070152!4d28.9721326!16s%2Fg%2F11g9qbztvw!19sChIJVVVQGpe5yhQRfRRxpLbm-NA?authuser=0&hl=en&rclk=1,N/A
Coffee Works CO,https://www.google.com/maps/place/Coffee+Works+CO/data=!4m7!3m6!1s0x14caa1004e3a2ed3:0x7f03b7f7c4bf45e0!8m2!3d41.0039124!4d28.6879943!16s%2Fg%2F11ml5hnxpl!19sChIJ0y46TgChyhQR4EW_xPe3A38?authuser=0&hl=en&rclk=1,N/A
Mocha point coffee by mocha arabica,https://www.google.com/maps/place/Mocha+point+coffee+by+mocha+arabica/data=!4m7!3m6!1s0x14cabbce0973d577:0xccce8014ac13d182!8m2!3d41.0169532!4d28.9423587!16s%2Fg%2F11w48pdktt!19sChIJd9VzCc67yhQRgtETrBSAzsw?authuser=0&hl=en&rclk=1,0539 817 60 90
Brokers Coffee,https://www.google.com/maps/place/Brokers+Coffee/data=!4m7!3m6!1s0x14caa1c6bef6a961:0x35de6a0b05e5b072!8m2!3d41.0043796!4d28.6893741!16s%2Fg%2F11vwnj_0lz!19sChIJYan2vsahyhQRcrDlBQtq3jU?authuser=0&hl=en&rclk=1,0542 445 73 06
Cafe bianchi,https://www.google.com/maps/place/Cafe+bianchi/data=!4m7!3m6!1s0x14cab9e93f282fc7:0xe776a632a567c4d9!8m2!3d41.0117811!4d28.9575097!16s%2Fg%2F11pt_5f08n!19sChIJxy8oP-m5yhQR2cRnpTKmduc?authuser=0&hl=en&rclk=1,0538 024 55 19
Starks Coffee,https://www.google.com/maps/place/Starks+Coffee/data=!4m7!3m6!1s0x14caa0bd1db23f81:0x217909baaaac1501!8m2!3d41.0202891!4d28.6865539!16s%2Fg%2F11f_48_tx6!19sChIJgT-yHb2gyhQRARWsqroJeSE?authuser=0&hl=en&rclk=1,0850 733 0252
Coffee lounge,https://www.google.com/maps/place/Coffee+lounge/data=!4m7!3m6!1s0x14cab96cadaf47b1:0xeb50a442d16b5887!8m2!3d41.0038331!4d28.9685791!16s%2Fg%2F11v9mw9zdv!19sChIJsUevrWy5yhQRh1hr0UKkUOs?authuser=0&hl=en&rclk=1,0533 443 94 38
Coffee Brew Lab,https://www.google.com/maps/place/Coffee+Brew+Lab/data=!4m7!3m6!1s0x14cab7622966d05f:0xc5721be73eb030c5!8m2!3d41.0320996!4d28.978345!16s%2Fg%2F1q6jhjm48!19sChIJX9BmKWK3yhQRxTCwPucbcsU?authuser=0&hl=en&rclk=1,N/A
Federal Galata,https://www.google.com/maps/place/Federal+Galata/data=!4m7!3m6!1s0x14cab9e704911015:0xe90755db22869f1e!8m2!3d41.0262739!4d28.9736633!16s%2Fg%2F11clwlpk48!19sChIJFRCRBOe5yhQRHp-GIttVB-k?authuser=0&hl=en&rclk=1,(0212) 245 09 03
NO:12 Coffee Sultanahmet,https://www.google.com/maps/place/NO:12+Coffee+Sultanahmet/data=!4m7!3m6!1s0x14cab9958bb3ffff:0xebf3fc60a04089cb!8m2!3d41.0103006!4d28.9759472!16s%2Fg%2F11rd2c468t!19sChIJ__-zi5W5yhQRy4lAoGD88-s?authuser=0&hl=en&rclk=1,(0212) 621 64 65
Coffee Istanbul,https://www.google.com/maps/place/Coffee+Istanbul/data=!4m7!3m6!1s0x14cab6fc2ebbd939:0xe329da36352d10fe!8m2!3d41.0674091!4d28.9911957!16s%2Fg%2F11b6nzjjyy!19sChIJOdm7Lvy2yhQR_hAtNTbaKeM?authuser=0&hl=en&rclk=1,(0212) 217 68 43
VAA Coffee Galata,https://www.google.com/maps/place/VAA+Coffee+Galata/data=!4m7!3m6!1s0x14cab985893a3943:0xfc3c04cf1b7b7968!8m2!3d41.0259871!4d28.9736727!16s%2Fg%2F11xrhwxy4l!19sChIJQzk6iYW5yhQRaHl7G88EPPw?authuser=0&hl=en&rclk=1,N/A
PORTRE COFFEE,https://www.google.com/maps/place/PORTRE+COFFEE/data=!4m7!3m6!1s0x14b55ff474c0d48d:0xa6fd7101dcb9d537!8m2!3d41.0174305!4d28.6446766!16s%2Fg%2F11q2qkwp3_!19sChIJjdTAdPRftRQRN9W53AFx_aY?authuser=0&hl=en&rclk=1,0536 706 37 86
Books & Coffee Karaköy,https://www.google.com/maps/place/Books+%26+Coffee+Karak%C3%B6y/data=!4m7!3m6!1s0x14cab9e317ebce99:0x69b8fd53d4ece235!8m2!3d41.0228982!4d28.9742416!16s%2Fg%2F11fjs9sqxt!19sChIJmc7rF-O5yhQRNeLs1FP9uGk?authuser=0&hl=en&rclk=1,(0212) 251 32 49
Viyana Kahvesi Ayasofya,https://www.google.com/maps/place/Viyana+Kahvesi+Ayasofya/data=!4m7!3m6!1s0x14cab90047100d63:0x39574191c517c3a8!8m2!3d41.007959!4d28.977323!16s%2Fg%2F11yq6mrkyv!19sChIJYw0QRwC5yhQRqMMXxZFBVzk?authuser=0&hl=en&rclk=1,0531 293 69 47
Nespresso Kanyon,https://www.google.com/maps/place/Nespresso+Kanyon/data=!4m7!3m6!1s0x14cab65d5f26c945:0xe574dfd7e65c76a!8m2!3d41.078234!4d29.009985!16s%2Fg%2F11hz1p2brq!19sChIJRckmX122yhQRasdlfv1NVw4?authuser=0&hl=en&rclk=1,444 2 021
Nevada Coffee,https://www.google.com/maps/place/Nevada+Coffee/data=!4m7!3m6!1s0x14cab96188bd393f:0xd833be2af2d8e3e0!8m2!3d41.0145597!4d28.9773113!16s%2Fg%2F11y56s9cxf!19sChIJPzm9iGG5yhQR4OPY8iq-M9g?authuser=0&hl=en&rclk=1,N/A
Hole Coffee & Matcha Co.,https://www.google.com/maps/place/Hole+Coffee+%26+Matcha+Co./data=!4m7!3m6!1s0x14cab70e6b4fecaf:0xac162b21c9eab9a!8m2!3d41.0584352!4d28.9820549!16s%2Fg%2F11p55qlhgx!19sChIJr-xPaw63yhQRmqueHLJiwQo?authuser=0&hl=en&rclk=1,0543 382 20 22
Coffee Time,https://www.google.com/maps/place/Coffee+Time/data=!4m7!3m6!1s0x14caa19aa1ce47a3:0x7b8d883979b9c2b7!8m2!3d41.0182614!4d28.6867899!16s%2Fg%2F11sk9dys2g!19sChIJo0fOoZqhyhQRt8K5eTmIjXs?authuser=0&hl=en&rclk=1,0552 858 95 54
Coffee Istanbul,https://www.google.com/maps/place/Coffee+Istanbul/data=!4m7!3m6!1s0x14cab6fe676efe41:0xb02b031ac331cc66!8m2!3d41.0657241!4d28.9951626!16s%2Fg%2F11g71tzhmm!19sChIJQf5uZ_62yhQRZswxwxoDK7A?authuser=0&hl=en&rclk=1,(0212) 288 41 09
Viyana Kahvesi,https://www.google.com/maps/place/Viyana+Kahvesi/data=!4m7!3m6!1s0x14cab90047100d63:0x39574191c517c3a8!8m2!3d41.007959!4d28.977323!16s%2Fg%2F11yq6mrkyv!19sChIJYw0QRwC5yhQRqMMXxZFBVzk?authuser=0&hl=en&rclk=1,0531 293 69 47
Harab'be Cafe,https://www.google.com/maps/place/Harab%27be+Cafe/data=!4m7!3m6!1s0x14cab996010f1d27:0x85a33628d4a40b98!8m2!3d41.0084009!4d28.9761307!16s%2Fg%2F1ptw12lmz!19sChIJJx0PAZa5yhQRmAuk1Cg2o4U?authuser=0&hl=en&rclk=1,0554 788 28 67
North Art Coffee & Breakfast,https://www.google.com/maps/place/North+Art+Coffee+%26+Breakfast/data=!4m7!3m6!1s0x14cab9619e48f68b:0xead4f4767582bee5!8m2!3d41.0059925!4d28.9792313!16s%2Fg%2F11fn1h8tmg!19sChIJi_ZInmG5yhQR5b6CdXb01Oo?authuser=0&hl=en&rclk=1,0538 832 48 64
Old Java Coffee Roasters Galata,https://www.google.com/maps/place/Old+Java+Coffee+Roasters+Galata/data=!4m7!3m6!1s0x14cab9e7654a5557:0x952c031c16cfe7b3!8m2!3d41.0258648!4d28.9754824!16s%2Fg%2F11c2p8fgnj!19sChIJV1VKZee5yhQRs-fPFhwDLJU?authuser=0&hl=en&rclk=1,0542 458 84 04
Coffee Department,https://www.google.com/maps/place/Coffee+Department/data=!4m7!3m6!1s0x14caba048e6f47e9:0x4b0cca6d0be017d4!8m2!3d41.0328574!4d28.9457956!16s%2Fg%2F11b7lgcj1k!19sChIJ6UdvjgS6yhQR1BfgC23KDEs?authuser=0&hl=en&rclk=1,N/A
Caffe Dell Arte IM,https://www.google.com/maps/place/Caffe+Dell+Arte+IM/data=!4m7!3m6!1s0x14cab9c2a8d34d57:0x6726a0a017b22de0!8m2!3d41.0100941!4d28.978823!16s%2Fg%2F11vwvx8lj8!19sChIJV03TqMK5yhQR4C2yF6CgJmc?authuser=0&hl=en&rclk=1,0541 569 47 61
Ambiance Coffee & Patisserie,https://www.google.com/maps/place/Ambiance+Coffee+%26+Patisserie/data=!4m7!3m6!1s0x14cab96f85b5885d:0x751a704dcf9a699e!8m2!3d41.0043547!4d28.9791971!16s%2Fg%2F11xkvd461k!19sChIJXYi1hW-5yhQRnmmaz01wGnU?authuser=0&hl=en&rclk=1,(0212) 458 22 24
Dudu Bakery Coffee,https://www.google.com/maps/place/Dudu+Bakery+Coffee/data=!4m7!3m6!1s0x14cab9aa8ec6b843:0xf54b19cc56d1f665!8m2!3d41.0054386!4d28.9739456!16s%2Fg%2F11w23f3tj3!19sChIJQ7jGjqq5yhQRZfbRVswZS_U?authuser=0&hl=en&rclk=1,N/A
Karnak Kafe & Coffee shop,https://www.google.com/maps/place/Karnak+Kafe+%26+Coffee+shop/data=!4m7!3m6!1s0x14cab9d7f3654877:0x588919672d860dc4!8m2!3d41.0140175!4d28.9599731!16s%2Fg%2F11grc871f0!19sChIJd0hl89e5yhQRxA2GLWcZiVg?authuser=0&hl=en&rclk=1,N/A
Evvelâ,https://www.google.com/maps/place/Evvel%C3%A2/data=!4m7!3m6!1s0x14cab9eab18e6f77:0x8cecfdcc7321d990!8m2!3d41.0137417!4d28.9754474!16s%2Fg%2F11hcfqlkb8!19sChIJd2-Oseq5yhQRkNkhc8z97Iw?authuser=0&hl=en&rclk=1,(0212) 528 24 44
